Price,Close,High,Low,Open,Volume
Ticker,LIN.DE,LIN.DE,LIN.DE,LIN.DE,LIN.DE
Date,,,,,
2024-06-28,404.81591796875,407.7750986996653,404.0268151481098,404.81591796875,16692
2024-07-01,395.9383850097656,405.80232100952236,394.16288857074693,405.21047882906817,37277
2024-07-02,392.9791564941406,395.1492341915328,391.99276301393326,393.1764472311181,21526
2024-07-03,394.55743408203125,395.9383790808497,392.7819376695994,395.149276253623,12240
2024-07-04,393.3737487792969,396.92477169784183,392.190094541344,396.3329295276938,8421
2024-07-05,392.78192138671875,395.5438112698608,391.4009463428057,394.1628663282898,12569
2024-07-08,396.7275085449219,398.3057141855894,394.5574306354894,395.74111496833314,13601
2024-07-09,394.16290283203125,398.5030288084864,393.3737698620927,396.9247929709541,12010
2024-07-10,393.5710144042969,395.1492500564616,391.0063852323219,393.96556579175274,29305
2024-07-11,395.5437927246094,395.7410834651589,392.78190297095983,394.75468996709253,26549
2024-07-12,399.2920837402344,399.2920837402344,393.7683041255299,393.96556476757434,19603
2024-07-15,396.9247741699219,400.08124569547465,396.13567133970537,400.08124569547465,14243
2024-07-16,403.8294982910156,404.4213404194147,394.75469603081393,397.3192950833081,22279
2024-07-17,405.01318359375,406.5914192394429,398.10842898339206,403.82949933389506,35377
2024-07-18,406.5914306640625,408.16963625175947,402.645856490136,407.97237560446837,38214
2024-07-19,400.8703308105469,404.42135359428215,400.47577941287454,403.0404086512579,11217
2024-07-22,403.6322937011719,406.3941838807828,401.4622156298024,402.84316071960785,14751
2024-07-23,407.1832580566406,407.7751002255069,403.43497449105945,403.82952590285595,20086
2024-07-24,404.2240295410156,408.1696033973548,403.6322175444364,404.4213202747684,13329
2024-07-25,405.8022766113281,407.97235433478727,399.88391565899275,402.8430961351604,49678
2024-07-26,409.3533020019531,409.55059274264937,401.85670539060584,401.85670539060584,11033
2024-07-29,409.9451904296875,412.11523831077454,409.3533482430841,411.5234262265152,15278
2024-07-30,413.6934509277344,416.6526315925999,408.5642225033729,411.12882166438243,19513
2024-07-31,416.8499450683594,417.6390479144031,410.5370319929775,412.1152376850649,16890
2024-08-01,414.67987060546875,420.20368088165895,413.890767752732,414.67987060546875,20151
2024-08-02,403.2376403808594,415.86349491730977,400.6730414287375,413.49615659870653,33326
2024-08-05,400.6730651855469,408.5642134503349,367.7274970981837,379.76151024292204,97409
2024-08-06,404.6186218261719,406.1968273290299,399.29207289583474,402.05399273051705,26858
2024-08-07,405.01318359375,408.16962478279464,403.82949933389506,408.16962478279464,17315
2024-08-08,404.02679443359375,404.6186365699016,398.10843327519837,398.10843327519837,13701
2024-08-09,402.8431091308594,405.60502905911954,399.88392855922865,403.63224201136575,19390
2024-08-12,402.8431091308594,405.4077383134076,402.25126699606494,403.63224201136575,10612
2024-08-13,403.4349670410156,404.81591200797357,401.26488916269415,403.4349670410156,13834
