Price,Close,High,Low,Open,Volume
Ticker,SAP.DE,SAP.DE,SAP.DE,SAP.DE,SAP.DE
Date,,,,,
2024-06-28,189.52000427246094,190.9600067138672,187.33999633789062,188.10000610351562,1961708
2024-07-01,185.67999267578125,189.39999389648438,185.1199951171875,188.6999969482422,1486789
2024-07-02,185.1999969482422,186.6999969482422,182.33999633789062,186.0,1059935
2024-07-03,187.66000366210938,187.8000030517578,185.5,185.83999633789062,1235392
2024-07-04,187.02000427246094,189.13999938964844,186.60000610351562,188.8800048828125,508674
2024-07-05,189.0800018310547,190.83999633789062,187.9600067138672,188.0399932861328,1003301
2024-07-08,187.83999633789062,190.97999572753906,187.74000549316406,190.0,1064391
2024-07-09,184.75999450683594,188.1199951171875,184.5800018310547,186.6999969482422,1175247
2024-07-10,185.8000030517578,186.9600067138672,184.89999389648438,185.55999755859375,895266
2024-07-11,186.4600067138672,188.47999572753906,184.10000610351562,186.3000030517578,1046828
2024-07-12,188.74000549316406,189.24000549316406,185.44000244140625,186.27999877929688,1401019
2024-07-15,187.75999450683594,189.66000366210938,187.6199951171875,188.67999267578125,850866
2024-07-16,187.22000122070312,188.36000061035156,186.44000244140625,187.22000122070312,796666
2024-07-17,183.25999450683594,187.44000244140625,183.25999450683594,185.8800048828125,1089930
2024-07-18,180.5800018310547,184.3800048828125,180.25999450683594,183.5,1486221
2024-07-19,181.5,181.75999450683594,178.86000061035156,180.9199981689453,2036212
2024-07-22,183.6199951171875,184.4199981689453,180.5800018310547,181.1999969482422,1193070
2024-07-23,196.74000549316406,196.97999572753906,192.8800048828125,193.89999389648438,2570273
2024-07-24,193.82000732421875,196.4199981689453,193.16000366210938,195.55999755859375,2111569
2024-07-25,195.22000122070312,195.83999633789062,191.44000244140625,192.5,1790785
2024-07-26,195.77999877929688,196.44000244140625,193.3800048828125,194.74000549316406,1081655
2024-07-29,192.8800048828125,197.4600067138672,192.8800048828125,196.0,1263955
2024-07-30,192.02000427246094,194.0399932861328,190.4199981689453,193.3000030517578,1201382
2024-07-31,195.02000427246094,195.16000366210938,191.39999389648438,191.5800018310547,1551667
2024-08-01,191.4600067138672,196.44000244140625,191.4600067138672,196.0,1443589
2024-08-02,186.16000366210938,189.8000030517578,185.24000549316406,189.0,2112796
2024-08-05,181.22000122070312,182.22000122070312,176.72000122070312,179.63999938964844,2794360
2024-08-06,185.39999389648438,186.5399932861328,181.77999877929688,181.89999389648438,1986171
2024-08-07,187.97999572753906,188.47999572753906,185.72000122070312,185.94000244140625,1632195
2024-08-08,188.27999877929688,188.27999877929688,183.74000549316406,184.8000030517578,1490720
2024-08-09,189.9199981689453,189.97999572753906,187.63999938964844,188.22000122070312,1000726
2024-08-12,189.3000030517578,190.72000122070312,188.10000610351562,190.17999267578125,874018
2024-08-13,191.5800018310547,191.5800018310547,189.22000122070312,190.0,723583
2024-08-14,192.0800018310547,192.8800048828125,190.94000244140625,192.0,765834
2024-08-15,195.97999572753906,196.10000610351562,192.5,193.82000732421875,1016214
2024-08-16,196.8000030517578,197.67999267578125,195.5,195.5,1397093
2024-08-19,197.24000549316406,197.24000549316406,194.67999267578125,195.83999633789062,924167
2024-08-20,195.89999389648438,199.1999969482422,195.89999389648438,198.44000244140625,1097210
2024-08-21,196.5,197.5800018310547,195.8000030517578,196.67999267578125,818786
2024-08-22,196.5399932861328,197.82000732421875,195.67999267578125,196.3000030517578,966824
2024-08-23,195.6199951171875,197.24000549316406,194.9199981689453,196.1999969482422,1083718
2024-08-26,194.1999969482422,196.0,193.5800018310547,194.97999572753906,753252
2024-08-27,195.25999450683594,195.25999450683594,192.86000061035156,194.17999267578125,842989
2024-08-28,195.1999969482422,197.66000366210938,195.13999938964844,196.72000122070312,887710
2024-08-29,199.02000427246094,199.02000427246094,194.5800018310547,195.17999267578125,1098807
2024-08-30,197.72000122070312,198.4199981689453,196.89999389648438,197.4199981689453,1653279
2024-09-02,199.86000061035156,199.86000061035156,197.24000549316406,198.25999450683594,844698
2024-09-03,198.1999969482422,201.0500030517578,198.0399932861328,199.86000061035156,1387171
2024-09-04,193.5800018310547,195.8000030517578,192.74000549316406,194.27999877929688,1490229
2024-09-05,191.44000244140625,195.1199951171875,190.74000549316406,193.52000427246094,1066320
2024-09-06,190.72000122070312,193.6999969482422,190.0399932861328,190.82000732421875,1563474
2024-09-09,192.5800018310547,193.24000549316406,191.5399932861328,192.02000427246094,1242997
2024-09-10,192.5399932861328,194.9600067138672,192.0800018310547,194.74000549316406,1829506
2024-09-11,194.4199981689453,195.44000244140625,191.6199951171875,193.3800048828125,1677725
2024-09-12,199.17999267578125,199.67999267578125,197.3800048828125,198.0,1586240
2024-09-13,200.64999389648438,200.9499969482422,198.02000427246094,199.0,1655805
2024-09-16,200.14999389648438,203.64999389648438,198.0399932861328,198.67999267578125,1145884
2024-09-17,200.64999389648438,201.1999969482422,199.36000061035156,200.25,1320645
2024-09-18,199.5800018310547,200.75,198.39999389648438,200.35000610351562,1154885
2024-09-19,206.10000610351562,206.6999969482422,200.25,201.75,1749391
2024-09-20,204.5,206.39999389648438,203.60000610351562,205.3000030517578,2904866
2024-09-23,206.85000610351562,207.5,205.35000610351562,205.5500030517578,810622
2024-09-24,206.85000610351562,208.0500030517578,204.60000610351562,207.85000610351562,1014546
2024-09-25,201.8000030517578,202.4499969482422,198.0,199.0,1927510
2024-09-26,204.5,206.39999389648438,203.10000610351562,205.8000030517578,1454845
2024-09-27,205.6999969482422,205.6999969482422,201.0,203.8000030517578,1830530
2024-09-30,204.39999389648438,207.0500030517578,204.39999389648438,204.5500030517578,1774113
2024-10-01,204.3000030517578,208.64999389648438,203.64999389648438,206.9499969482422,1474402
2024-10-02,203.75,204.75,201.1999969482422,204.25,820111
2024-10-03,200.8000030517578,202.1999969482422,199.1199951171875,199.4199981689453,1394256
2024-10-04,200.6999969482422,201.8000030517578,198.52000427246094,199.60000610351562,1192147
2024-10-07,200.3000030517578,201.14999389648438,199.63999938964844,200.64999389648438,959990
2024-10-08,205.0,205.0,200.0500030517578,200.89999389648438,1192951
2024-10-09,207.85000610351562,208.0,204.39999389648438,205.64999389648438,1030514
2024-10-10,206.0500030517578,208.25,204.5,207.8000030517578,1140645
2024-10-11,208.60000610351562,208.60000610351562,205.3000030517578,205.75,1282328
2024-10-14,211.5500030517578,211.89999389648438,208.6999969482422,209.0,872373
2024-10-15,209.8000030517578,214.5500030517578,208.9499969482422,213.60000610351562,1922303
2024-10-16,210.64999389648438,213.10000610351562,210.25,211.5,1556440
2024-10-17,211.60000610351562,212.75,210.1999969482422,210.9499969482422,1139463
2024-10-18,212.85000610351562,213.25,209.89999389648438,210.6999969482422,1221882
2024-10-21,210.75,214.0500030517578,210.75,213.0,0
2024-10-22,215.25,223.1999969482422,215.25,221.64999389648438,2857814
2024-10-23,218.64999389648438,219.85000610351562,214.14999389648438,215.0500030517578,1429594
2024-10-24,219.0500030517578,220.39999389648438,216.9499969482422,218.64999389648438,1202150
2024-10-25,221.0500030517578,221.8000030517578,219.5,219.5,1376516
2024-10-28,222.6999969482422,223.0500030517578,220.39999389648438,220.75,1271298
